2016-04-18T13:04:02Z,Obamacare’s Striking Effect on America’s Least Fortunate,By VIKAS BAJAJ,
2016-04-18T00:00:00Z,What Should We Expect From the Supreme Court’s Showdown Over Immigration?,By EMILY BAZELON and ERIC POSNER,"Emily Bazelon and Eric Posner discuss the possible decisions, and their consequences, in United States v. Texas."
2016-04-18T00:00:00Z,"Immigrants, the Poor and Minorities Gain Sharply Under Affordable Care Act",By SABRINA TAVERNISE and ROBERT GEBELOFF,"Hispanics — a demographic coveted by both political parties in this election year — accounted for nearly a third of the increase in adults with insurance, according to a New York Times analysis."
2016-04-15T00:00:00Z,Transcript: Democratic Presidential Debate in Brooklyn,NA,"Following is a transcript of the Democratic debate, as transcribed by the Federal News Service."
2016-04-14T22:11:11Z,Hillary Clinton and Bernie Sanders Go on the Attack in Democratic Debate,By NICHOLAS KRISTOF,
2016-04-16T04:00:00Z,News About Obamacare Has Been Bad Lately. How Bad?,By REED ABELSON and MARGOT SANGER-KATZ,"Two Times reporters, Reed Abelson and Margot Sanger-Katz, talk about the Affordable Care Act’s recent setbacks and future."
2016-04-11T17:12:45Z,Backers Fight for Children's Health Insurance in Arizona,By THE ASSOCIATED PRESS,"A fight is intensifying in the Arizona Legislature over the Senate leader's refusal to restore a program providing health insurance to poor children, a stance that would maintain the state's position as the only one in the nation that doesn't participate in the plan."
2016-04-11T07:32:12Z,The Obamacare Replacement Mirage,By PAUL KRUGMAN,
2016-04-11T00:00:00Z,Why Do Some Vote Against Their Best Interests?,NA,"A Democratic state representative in New Hampshire is puzzled, and recounts a telling anecdote."
2016-04-08T00:00:00Z,"Your Friday Evening Briefing: Pope Francis, Brussels, Bill Clinton",By ANDREA KANNAPELL and SANDRA STEVENSON,Here’s what you need to know at the end of the day.
2016-04-08T09:00:53Z,Donald Trump’s Health Care Ideas Bewilder Republican Experts,By ROBERT PEAR and MAGGIE HABERMAN,"Some call his proposals an incoherent mishmash that could hurt millions of newly insured people, but such criticism appears only to bolster his outsider status."
2016-04-05T16:15:11Z,House Ethics Committee Continues Probe of Florida's Grayson,By REUTERS,"The ethics committee of the U.S. House of Representatives said on Tuesday it would continue to investigate possible conflicts of interest by Representative Alan Grayson, a Florida Democrat and liberal firebrand running for the Senate seat soon to be vacated by Marco Rubio.     "
2016-04-06T00:00:00Z,Donald Trump’s Rise Shows Religion Is Losing Its Political Power,By EDUARDO PORTER,"Mr. Trump’s campaign suggests that an alignment of interests on the right, entwining religious fervor with free market economics, is fraying."
2016-04-05T03:41:54Z,"GOP Appeal to Conservatives With Health Care, Immigrant Cuts",By THE ASSOCIATED PRESS,"Trying to win over conservatives, House Republicans are sweetening their budget proposal by putting several programs on the chopping block, including President Barack Obama's health care law and tax credits for children of immigrants living in the country illegally."
2016-04-01T00:00:00Z,Learning From Obama,By PAUL KRUGMAN,"The president has had a lot of success addressing America’s problems, which may surprise many on the left and the right."
2016-03-31T14:08:16Z,Obamacare on Track,By PAUL KRUGMAN,
2016-04-01T00:00:00Z,New Health Insurance Customers Are Sicker. Should We Be Surprised?,By MARGOT SANGER-KATZ,"A new report seems to imply that the Obamacare markets are more troubled than expected, at least until you take a closer look."
2016-03-31T00:00:00Z,‘Bernie or Bust’ Is Bonkers,By CHARLES M. BLOW,Elections are not always between a dream candidate and a dreaded one. Sometimes they’re between common sense and catastrophe.
2016-03-30T18:31:52Z,The Pathos of Republican Reformers,By PAUL KRUGMAN,
2016-03-29T14:02:16Z,U.S. Top Court Seeks More Information in Contraception Insurance Case,By REUTERS,"The U.S. Supreme Court on Tuesday asked both sides for new information in a challenge by Christian nonprofit employers to a mandate under President Barack Obama's healthcare law to provide insurance to female workers covering birth control, indicating the justices are struggling to decide the closely watched case."
2016-03-28T00:00:00Z,Let Voters Decide the Court’s Future,By ORRIN G. HATCH,Voters elected a Republican Senate majority in 2014 in part to restrain the president’s judicial overreach.
2016-03-28T00:00:00Z,"On Campaign Trail, Republicans Tone Down Criticism of Obamacare",By ALBERT R. HUNT | BLOOMBERG VIEW,"The explanation may be that for all its controversy and imperfections, the sweeping law has taken hold."
2016-03-27T00:00:00Z,Who Is Ted Cruz?,By ROSS DOUTHAT,How a determined nerd ended up as Donald Trump’s last rival.
2016-03-25T03:33:03Z,"Factbox: 'Carpet-Bomb' ISIS, Audit the Fed. What a President Cruz Would Do",By REUTERS,Presidential candidate Ted Cruz says he is the most consistent conservative left in the Republican race.
2016-03-24T21:00:40Z,10 Things to Know for Friday,By THE ASSOCIATED PRESS,"Your daily look at late-breaking news, upcoming events and the stories that will be talked about Friday:"
2016-03-24T20:59:28Z,"Factbox: 'Carpet-Bomb' ISIS, Audit the Fed. What a President Cruz Would Do",By REUTERS,Presidential candidate Ted Cruz says he is the most consistent conservative left in the Republican race.
2016-03-24T19:32:15Z,"Factbox-'Carpet-Bomb' ISIS, Audit the Fed. What a President Cruz Would Do",By REUTERS,U.S. presidential candidate Ted Cruz says he is the most consistent conservative left in the Republican race.
2016-03-24T00:00:00Z,How to Stop the Bouncing Between Insurance Plans Under Obamacare,By DHRUV KHULLAR,"Millions of Americans move back and forth between Medicaid and the insurance marketplace, inconveniencing patients and costing taxpayers."
2016-03-23T00:13:33Z,Supreme Court Faces 4-4 Split in Obamacare Contraception Case,By REUTERS,The Supreme Court on Wednesday headed toward a possible 4-4 split over a legal challenge by Christian nonprofit employers who object to providing female workers insurance covering birth control as required by President Barack Obama's healthcare law.
2016-03-22T16:48:11Z,Political Substance Abuse: Donald Trump’s Washington Press Conference,By ELIZABETH WILLIAMSON,
2016-03-22T00:00:00Z,What Are We Voting For?,ARTHUR C. BROOKS and GAIL COLLINS,"Arthur C. Brooks and Gail Collins trade ideas on health care and economics — and how these issues play out for Clinton, Trump and Sanders."
2016-03-22T00:00:00Z,Why Sanders Trails Clinton Among Minority Voters,By NOAM SCHEIBER,One reason for Bernie Sanders’s gap among African-Americans is that they have more favorable impressions of the economy.
2016-03-21T11:29:46Z,This Week’s Most Sensible Comment by a Republican,By ANDREW ROSENTHAL,
2016-03-21T10:44:07Z,"Health Insurance Gains Due to Obama's Law, Not Economy",By THE ASSOCIATED PRESS,"There's growing evidence that most of the dramatic gain in the number of Americans with health care coverage is due to President Barack Obama's law, and not the gradual recovery of the nation's economy."
2016-03-21T00:00:00Z,Will a Liberal Supreme Court Limit Money in Politics?,By MARK SCHMITT,"Instead of rolling back Citizens United, we should seek to make it easier for people without wealth to run and be heard."
2016-03-20T08:06:02Z,Scalia Death a Blow to Obamacare Contraception Challengers,By REUTERS,Christian groups asking the U.S. Supreme Court to exempt them from the requirement to provide insurance covering contraception under President Barack Obama's healthcare law face an uphill battle following Justice Antonin Scalia's death last month.
2016-03-19T00:00:00Z,‘Obama Wins Either Way’: Our Best Comments of the Week,By LELA MOORE and SONA PATEL,"“Donald Trump is a kind of political Dr. Phil.” Readers react to the presidential primary results and the new Supreme Court nominee, Merrick Garland."
2016-03-18T16:53:54Z,"Factbox: Build a Giant Wall, Cut Education Department. What a President Trump Would Do",By REUTERS,Presidential candidate Donald Trump has been accused by some in his Republican Party of being vague on policy specifics and heavy on rhetoric.
2016-03-20T00:00:00Z,What Do You Need to Do to Be a Supreme Court Justice?,By IAN MILLHISER,There’s a very narrow path to the highest court in the land.
2016-03-17T14:46:24Z,Graham Offers Tepid Endorsement of Cruz as Trump Alternative,By THE ASSOCIATED PRESS,Sen. Lindsey Graham said Thursday that he'll help Ted Cruz raise campaign cash in the hope of stopping Donald Trump's march toward the Republican presidential nomination.
2016-03-17T14:31:51Z,Ted Cruz Wins Support of Senator Lindsey Graham in Anti-Trump Move,By MATT FLEGENHEIMER and EMMARIE HUETTEMAN,
2016-03-17T04:00:00Z,‘Big Government’ Looks Great When There Is None,By NICHOLAS KRISTOF,What Republican candidates consider an American weakness seems like a strength when viewed from South Sudan.
2016-03-16T16:54:25Z,The Candidates and the Constitution,By TERESA TRITCH,
2016-03-16T04:23:28Z,Deficit-Slashing Plan Advances Through House Panel,By THE ASSOCIATED PRESS,"A key House panel on Wednesday approved a GOP plan to eliminate the federal budget deficit without tax increases demanded by Democrats, relying on sharp cuts to federal health care programs, government aid to the poor, and hundreds of domestic programs supported by lawmakers in both parties."
2016-03-16T00:00:00Z,"Lin-Manuel Miranda, ‘Hamilton’ Creator, Freestyles for Obama",By DANIEL VICTOR,"The show’s creator and star rapped about all things governmental, with an assist from the president."
2016-03-14T00:00:00Z,Carson Endorses the Demagogue,By CHARLES M. BLOW,The former candidate’s backing of Donald Trump shows that his calls for civility were hollow.
2016-03-12T16:00:24Z,Trump Rally Violence Offers Kasich Fresh Chance for Contrast,By THE ASSOCIATED PRESS,"John Kasich on Saturday delivered his harshest criticism yet of Donald Trump, saying he's ""had it"" with the ""toxic"" nature of Trump's campaign and suggesting he may not support the businessman should he become the Republican nominee."
2016-03-11T00:00:00Z,Transcript of the Republican Presidential Debate in Florida,NA,"Following is a transcript of the Republican debate, as transcribed by the Federal News Service."
2016-03-10T15:26:17Z,Top Republican Unveils $98B in Cuts to Social Programs,By THE ASSOCIATED PRESS,A senior House Republican on Thursday reprised a proposal to cut child tax credits for immigrants working in the U.S. illegally.
2016-03-10T00:00:00Z,Medicare Tries an Experiment to Fight Perverse Incentives,By MARGOT SANGER-KATZ,The current system creates incentives for doctors to choose the medication or treatment with a higher price. Medicare is going to try a new approach.
2016-03-10T00:00:00Z,Transcript of the Democratic Presidential Debate in Miami,NA,"Following is a transcript of the Democratic debate, as transcribed by the Federal News Service."
